idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
53,1,53,52725.0,9.362,-7.441,-7.440999999999996,-0.317,10.0,8.0,2.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-3.395,3.395,0.985,15.0,9.778,54.08227417767432,-3.4363154146054455,54.610499999999995,1.8205385745280973,-0.23777152616577713,1.8359999999999999,0.009705779772800703,54.190774184191945,0.5021343316495708,0.24624616892399986,0.24624616892399986,balanced
54,1,54,52929.0,9.566,-5.977,-5.976999999999997,2.305,11.0,8.0,3.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-2.373,2.373,0.598,14.5,9.514,56.009738774887275,-3.638117858819374,56.5485,1.9274645972129512,-0.20180244421392846,1.938,0.013184530572341063,56.12749600989542,0.5200800896532355,0.17587167181163194,0.17587167181163194,balanced
55,1,55,53134.0,9.771,-3.617,-3.6169999999999964,5.527,10.0,9.0,1.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,-0.91,0.91,0.116,14.5,9.55,57.95335946039504,-3.7609790848685836,58.495999999999995,1.9436206855077676,-0.12286122604920932,1.9474999999999998,0.021150074632639897,58.07497292665715,0.5381255048502449,0.18535369059275789,0.18535369059275789,balanced
56,1,56,53299.0,9.936,-1.98,-1.9799999999999964,7.066,11.0,9.0,2.0,8.0,10.0,8.0,10.0,-2.0,9.0,9.0,-1.0,1.45,-1.45,-0.612,14.0,9.277,59.60237432518075,-3.8179876431364628,60.145999999999994,1.6490148647857055,-0.057008558267879254,1.6500000000000001,0.01731578173039222,59.72405047680353,0.5534059370999582,0.24051920158694196,0.24051920158694196,balanced
57,1,57,53531.0,10.168,-0.515,-0.5149999999999966,6.803,9.0,10.0,-1.0,9.0,11.0,9.0,11.0,-2.0,10.0,10.0,-1.0,3.088,-3.088,-1.084,14.5,9.618,61.80628529282519,-3.837797910589268,62.349999999999994,2.2039109676444393,-0.019810267452805494,2.204,0.01160121304070641,61.924214364419775,0.5737927619766913,0.3704994602008536,0.3704994602008536,balanced
58,1,58,53756.0,10.393,-0.335,-0.3349999999999966,4.702,9.0,9.0,0.0,9.0,11.0,9.0,11.0,-2.0,10.0,10.0,-1.0,4.552,-4.552,-1.425,15.0,9.957,63.831250679912735,-3.8496377204435377,64.375,2.024965387087546,-0.01183980985426939,2.025,0.0015514037795505147,63.945304649784056,0.592520282203573,0.49627329852239604,0.49627329852239604,balanced
59,1,59,53956.0,10.593,-0.504,-0.5039999999999966,2.759,10.0,9.0,1.0,9.0,11.0,9.0,11.0,-2.0,10.0,10.0,-1.0,4.733,-4.733,-1.365,14.5,9.692,65.73117717157315,-3.8663507778223707,66.275,1.8999264916604148,-0.016713057378832795,1.9000000000000001,-0.0015524244399317982,65.8419761089656,0.6100949315761365,0.6086893824525772,0.6086893824525772,balanced
60,1,60,54160.0,10.797,-0.806,-0.8059999999999966,1.277,9.0,10.0,-1.0,9.0,11.0,9.0,11.0,-2.0,10.0,10.0,-1.0,4.563,-4.563,-1.23,14.5,9.728,67.66898541889694,-3.8936124102738705,68.21300000000001,1.937808247323785,-0.027261632451499873,1.938,-0.002719759721890028,67.77715850464813,0.6280264251468544,0.7131551445012893,0.7131551445012893,balanced
61,1,61,54364.0,11.001,-1.237,-1.2369999999999965,0.09,10.0,10.0,0.0,8.0,10.0,8.0,10.0,-2.0,9.0,9.0,-1.0,4.262,-4.262,-1.085,14.0,9.463,69.70850999890884,-3.9376520234336776,70.25300000000001,2.0395245800119044,-0.04403961315980704,2.04,-0.003687435821615471,69.8149621534867,0.6469088122071431,0.8077928155426467,0.8077928155426467,balanced
62,1,62,54569.0,11.206,-2.11,-2.1099999999999963,-1.433,9.0,11.0,-2.0,8.0,10.0,8.0,10.0,-2.0,9.0,9.0,-1.0,3.83,-3.83,-0.924,14.0,9.497,71.7571200641088,-4.013129177337158,72.30300000000001,2.0486100651999712,-0.07547715390348023,2.05,-0.007432548473127071,71.86396631549567,0.6658949837635867,0.8716829092187396,0.8716829092187396,balanced
