HB:t=3628,m=T,run=1,el=99,er=78,yaw=127.3,yr=179.2,pc=78,hd=-54,OL=24,OR=132,sb=23,lp=-85.00
HB:t=3628,m=T,run=1,el=99,er=78,yaw=127.3,yr=179.2,pc=78,hd=-54,OL=24,OR=132,sb=23,lp=-85.00
HB:t=3663,m=T,run=1,el=25,er=40,yaw=130.9,yr=179.3,pc=132,hd=-83,OL=49,OR=215,sb=23,lp=-169.00
HB:t=3668,m=T,run=1,el=25,er=40,yaw=130.9,yr=179.3,pc=132,hd=-83,OL=49,OR=215,sb=23,lp=-169.00
HB:t=3737,m=T,run=1,el=58,er=122,yaw=134.5,yr=179.4,pc=90,hd=-63,OL=27,OR=153,sb=0,lp=-296.00
HB:t=3811,m=T,run=1,el=11,er=140,yaw=136.2,yr=165.9,pc=100,hd=-63,OL=-60,OR=200,sb=0,lp=-296.00
HB:t=3811,m=T,run=1,el=11,er=140,yaw=136.2,yr=165.9,pc=100,hd=-63,OL=-60,OR=200,sb=0,lp=-296.00
HB:t=3861,m=T,run=1,el=-5,er=94,yaw=132.6,yr=117.5,pc=140,hd=-63,OL=-60,OR=200,sb=0,lp=-296.00
HB:t=3862,m=T,run=1,el=-1,er=1,yaw=132.6,yr=117.5,pc=158,hd=-63,OL=-60,OR=200,sb=0,lp=-296.00
HB:t=3935,m=T,run=1,el=-19,er=150,yaw=129.0,yr=75.8,pc=146,hd=-63,OL=-60,OR=200,sb=0,lp=-296.00
HB:t=4009,m=T,run=1,el=-26,er=140,yaw=125.4,yr=40.0,pc=127,hd=-63,OL=-60,OR=200,sb=1,lp=-296.00
HB:t=4010,m=T,run=1,el=-26,er=140,yaw=125.4,yr=40.0,pc=127,hd=-63,OL=-60,OR=200,sb=1,lp=-296.00
HB:t=4236,m=S,run=0,el=-39,er=349,yaw=103.6,yr=-118.8,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=4236,m=S,run=0,el=-39,er=349,yaw=103.6,yr=-118.8,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
