HB:t=9007,m=S,run=1,el=29,er=39,yaw=2.3,yr=-3.3,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=9130,m=S,run=1,el=116,er=147,yaw=1.2,yr=-3.3,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=9133,m=S,run=1,el=18,er=23,yaw=1.2,yr=-3.3,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=9184,m=S,run=1,el=36,er=47,yaw=0.3,yr=-6.7,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=9225,m=S,run=1,el=11,er=12,yaw=-2.2,yr=-6.7,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=9225,m=S,run=1,el=27,er=31,yaw=-2.2,yr=-12.5,pc=10,hd=3,dp=2,OL=13,OR=7
HB:t=9348,m=S,run=1,el=122,er=117,yaw=-3.4,yr=-12.5,pc=9,hd=4,dp=2,OL=13,OR=5
HB:t=9352,m=S,run=1,el=21,er=18,yaw=-3.4,yr=-12.5,pc=10,hd=3,dp=2,OL=13,OR=7
HB:t=9423,m=S,run=1,el=79,er=67,yaw=-4.0,yr=-11.4,pc=10,hd=3,dp=2,OL=13,OR=7
HB:t=9543,m=S,run=1,el=143,er=111,yaw=-3.3,yr=-11.4,pc=8,hd=4,dp=2,OL=12,OR=4
HB:t=9551,m=S,run=1,el=8,er=5,yaw=-3.3,yr=-11.4,pc=9,hd=3,dp=2,OL=12,OR=6
HB:t=9597,m=S,run=1,el=53,er=39,yaw=-3.0,yr=-7.2,pc=10,hd=2,dp=1,OL=12,OR=8
HB:t=9632,m=S,run=1,el=14,er=11,yaw=-0.8,yr=-7.2,pc=11,hd=2,dp=1,OL=13,OR=9
HB:t=9755,m=S,run=1,el=143,er=120,yaw=-0.0,yr=2.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9759,m=S,run=1,el=4,er=4,yaw=-0.0,yr=2.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=9830,m=S,run=1,el=78,er=63,yaw=3.0,yr=9.1,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=9950,m=S,run=1,el=122,er=124,yaw=3.9,yr=9.1,pc=9,hd=-4,dp=-1,OL=5,OR=13
HB:t=9959,m=S,run=1,el=9,er=9,yaw=3.9,yr=9.1,pc=9,hd=-3,dp=-1,OL=6,OR=12
HB:t=10025,m=S,run=1,el=59,er=68,yaw=4.5,yr=8.7,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=10150,m=S,run=1,el=114,er=146,yaw=3.8,yr=8.7,pc=9,hd=-4,dp=-1,OL=5,OR=13
HB:t=10158,m=S,run=1,el=12,er=17,yaw=3.8,yr=8.7,pc=9,hd=-3,dp=-1,OL=6,OR=12
HB:t=10204,m=S,run=1,el=36,er=50,yaw=3.6,yr=5.2,pc=10,hd=-2,dp=-1,OL=8,OR=12
HB:t=10245,m=S,run=1,el=10,er=14,yaw=1.4,yr=5.2,pc=10,hd=-2,dp=-1,OL=8,OR=12
HB:t=10245,m=S,run=1,el=27,er=36,yaw=1.4,yr=-3.6,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=10368,m=S,run=1,el=113,er=140,yaw=0.2,yr=-3.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10372,m=S,run=1,el=17,er=21,yaw=0.2,yr=-3.6,pc=9,hd=0,dp=0,OL=9,OR=9
